loan_size,interest_rate,borrower_income,debt_to_income,num_of_accounts,derogatory_marks,total_debt,loan_status
8600,6.773,44300,0.3227990970654630,3,0,14300,0
11100,7.853,54500,0.44954128440367000,5,1,24500,0
8700,6.838000000000000,44900,0.3318485523385300,3,0,14900,0
9300,7.072,47100,0.3630573248407640,3,0,17100,0
7400,6.276,39700,0.2443324937027710,2,0,9700,0
9200,7.055,47000,0.3617021276595750,3,0,17000,0
10500,7.579,51900,0.4219653179190750,4,1,21900,0
9800,7.277,49100,0.3890020366598780,4,0,19100,0
8600,6.778,44400,0.32432432432432400,3,0,14400,0
9400,7.106,47500,0.3684210526315790,3,0,17500,0
10400,7.543000000000000,51600,0.4186046511627910,4,1,21600,0
8700,6.804000000000000,44600,0.3273542600896860,3,0,14600,0
7800,6.428,41100,0.27007299270073000,2,0,11100,0
9300,7.063,47100,0.3630573248407640,3,0,17100,0
10300,7.496,51100,0.4129158512720160,4,1,21100,0
8400,6.7,43600,0.3119266055045870,3,0,13600,0
10800,7.6980000000000000,53000,0.4339622641509430,5,1,23000,0
9600,7.19,48300,0.37888198757764000,4,0,18300,0
8600,6.767,44300,0.3227990970654630,3,0,14300,0
12400,8.404,59700,0.4974874371859300,6,1,29700,0
8400,6.682,43500,0.3103448275862070,3,0,13500,0
9400,7.11,47500,0.3684210526315790,3,0,17500,0
9800,7.272,49000,0.3877551020408160,4,0,19000,0
7500,6.294,39800,0.2462311557788950,2,0,9800,0
8500,6.751,44100,0.3197278911564630,3,0,14100,0
9200,7.054000000000000,47000,0.3617021276595750,3,0,17000,0
10400,7.539,51500,0.4174757281553400,4,1,21500,0
9000,6.939,45900,0.3464052287581700,3,0,15900,0
10200,7.449,50700,0.40828402366863900,4,1,20700,0
9900,7.338000000000000,49700,0.3963782696177060,4,0,19700,0
7400,6.255,39500,0.2405063291139240,2,0,9500,0
11200,7.8870000000000000,54800,0.4525547445255470,5,1,24800,0
7000,6.108,38100,0.2125984251968500,1,0,8100,0
7800,6.425,41100,0.27007299270073000,2,0,11100,0
10900,7.76,53600,0.44029850746268700,5,1,23600,0
8700,6.824,44800,0.33035714285714300,3,0,14800,0
11100,7.838000000000000,54400,0.4485294117647060,5,1,24400,0
7100,6.1340000000000000,38300,0.216710183,1,0,8300,0
7800,6.419,41000,0.2682926829268290,2,0,11000,0
9500,7.175,48100,0.3762993762993760,4,0,18100,0
7800,6.449,41300,0.2736077481840190,2,0,11300,0
8600,6.778,44400,0.32432432432432400,3,0,14400,0
9800,7.305,49300,0.3914807302231240,4,0,19300,0
10000,7.355,49800,0.3975903614457830,4,0,19800,0
9600,7.2,48400,0.3801652892561980,4,0,18400,0
12800,8.572000000000000,61300,0.5106035889070150,7,1,31300,0
11600,8.064,56500,0.4690265486725660,5,1,26500,0
8200,6.615,42900,0.3006993006993010,2,0,12900,0
9400,7.11,47500,0.3684210526315790,3,0,17500,0
9400,7.118000000000000,47600,0.3697478991596640,3,0,17600,0
8600,6.781000000000000,44400,0.32432432432432400,3,0,14400,0
10300,7.508000000000000,51200,0.4140625,4,1,21200,0
8700,6.822,44800,0.33035714285714300,3,0,14800,0
9000,6.929000000000000,45800,0.34497816593886500,3,0,15800,0
9200,7.022,46700,0.3576017130620990,3,0,16700,0
8800,6.876,45300,0.3377483443708610,3,0,15300,0
7800,6.438,41200,0.27184466019417500,2,0,11200,0
9000,6.959,46100,0.3492407809110630,3,0,16100,0
8100,6.58,42500,0.29411764705882400,2,0,12500,0
7200,6.193,38900,0.2287917737789200,1,0,8900,0
9800,7.2830000000000000,49100,0.3890020366598780,4,0,19100,0
7600,6.373000000000000,40600,0.2610837438423650,2,0,10600,0
9200,7.043000000000000,46900,0.3603411513859280,3,0,16900,0
10100,7.431,50500,0.405940594,4,1,20500,0
8600,6.784,44400,0.32432432432432400,3,0,14400,0
8400,6.679000000000000,43400,0.3087557603686640,3,0,13400,0
10400,7.543000000000000,51600,0.4186046511627910,4,1,21600,0
9600,7.225,48600,0.382716049,4,0,18600,0
8100,6.56,42300,0.2907801418439720,2,0,12300,0
10300,7.523,51400,0.4163424124513620,4,1,21400,0
9000,6.932,45800,0.34497816593886500,3,0,15800,0
10100,7.413000000000000,50400,0.4047619047619050,4,1,20400,0
8700,6.831,44900,0.3318485523385300,3,0,14900,0
11000,7.808,54100,0.4454713493530500,5,1,24100,0
8400,6.702000000000000,43700,0.3135011441647600,3,0,13700,0
8300,6.646,43100,0.3039443155452440,2,0,13100,0
11000,7.805,54000,0.4444444444444440,5,1,24000,0
9800,7.307,49400,0.3927125506072870,4,0,19400,0
11200,7.905,55000,0.4545454545454550,5,1,25000,0
9500,7.154,47900,0.3736951983298540,4,0,17900,0
11200,7.871,54700,0.4515539305301650,5,1,24700,0
10600,7.638,52500,0.42857142857142900,5,1,22500,0
9700,7.236000000000000,48700,0.3839835728952770,4,0,18700,0
9600,7.222,48600,0.382716049,4,0,18600,0
8100,6.586,42600,0.29577464788732400,2,0,12600,0
7700,6.394,40800,0.2647058823529410,2,0,10800,0
8800,6.883000000000000,45400,0.3392070484581500,3,0,15400,0
10600,7.6370000000000000,52500,0.42857142857142900,5,1,22500,0
7800,6.441,41200,0.27184466019417500,2,0,11200,0
9000,6.958000000000000,46100,0.3492407809110630,3,0,16100,0
10000,7.385,50100,0.4011976047904190,4,1,20100,0
9100,6.982,46300,0.35205183585313200,3,0,16300,0
7700,6.391,40700,0.2628992628992630,2,0,10700,0
9900,7.348,49700,0.3963782696177060,4,0,19700,0
9100,7.01,46600,0.3562231759656650,3,0,16600,0
8300,6.669,43400,0.3087557603686640,3,0,13400,0
7800,6.441,41200,0.27184466019417500,2,0,11200,0
9000,6.932,45800,0.34497816593886500,3,0,15800,0
10800,7.723,53300,0.4371482176360230,5,1,23300,0
10000,7.375,50000,0.4,4,1,20000,0
8700,6.812,44700,0.3288590604026850,3,0,14700,0
7900,6.468,41500,0.27710843373494000,2,0,11500,0
10500,7.569,51800,0.4208494208494210,4,1,21800,0
11200,7.899,54900,0.453551913,5,1,24900,0
9600,7.189,48300,0.37888198757764000,4,0,18300,0
12100,8.287,58600,0.4880546075085320,6,1,28600,0
10800,7.718,53200,0.43609022556391000,5,1,23200,0
9800,7.27,49000,0.3877551020408160,4,0,19000,0
6300,5.8230000000000000,35400,0.15254237288135600,1,0,5400,0
8200,6.612,42800,0.29906542056074800,2,0,12800,0
9100,6.986000000000000,46300,0.35205183585313200,3,0,16300,0
9400,7.101,47400,0.3670886075949370,3,0,17400,0
9500,7.143,47800,0.3723849372384940,4,0,17800,0
10700,7.664,52700,0.4307400379506640,5,1,22700,0
9300,7.07,47100,0.3630573248407640,3,0,17100,0
10000,7.37,49900,0.3987975951903810,4,0,19900,0
9700,7.2620000000000000,48900,0.38650306748466300,4,0,18900,0
8100,6.584,42600,0.29577464788732400,2,0,12600,0
8800,6.86,45200,0.33628318584070800,3,0,15200,0
9900,7.337000000000000,49600,0.3951612903225810,4,0,19600,0
7800,6.458000000000000,41400,0.2753623188405800,2,0,11400,0
9800,7.305,49300,0.3914807302231240,4,0,19300,0
8700,6.81,44700,0.3288590604026850,3,0,14700,0
9700,7.235,48700,0.3839835728952770,4,0,18700,0
11100,7.859,54600,0.4505494505494510,5,1,24600,0
12100,8.284000000000000,58600,0.4880546075085320,6,1,28600,0
8000,6.54,42100,0.2874109263657960,2,0,12100,0
9900,7.319,49500,0.3939393939393940,4,0,19500,0
9200,7.015,46600,0.3562231759656650,3,0,16600,0
9400,7.102,47400,0.3670886075949370,3,0,17400,0
10700,7.692,53000,0.4339622641509430,5,1,23000,0
9600,7.211,48500,0.38144329896907200,4,0,18500,0
11400,7.972,55600,0.46043165467625900,5,1,25600,0
11900,8.167,57500,0.4782608695652170,6,1,27500,0
10100,7.429000000000000,50500,0.405940594,4,1,20500,0
9100,6.9910000000000000,46400,0.3534482758620690,3,0,16400,0
9800,7.278,49100,0.3890020366598780,4,0,19100,0
9800,7.2860000000000000,49200,0.3902439024390240,4,0,19200,0
8100,6.568,42400,0.29245283018867900,2,0,12400,0
8700,6.819,44800,0.33035714285714300,3,0,14800,0
8900,6.898,45500,0.3406593406593410,3,0,15500,0
11100,7.845,54400,0.4485294117647060,5,1,24400,0
10500,7.599,52100,0.4241842610364680,4,1,22100,0
8400,6.709,43700,0.3135011441647600,3,0,13700,0
9200,7.022,46700,0.3576017130620990,3,0,16700,0
7000,6.091,37900,0.208443272,1,0,7900,0
9500,7.167000000000000,48000,0.375,4,0,18000,0
11200,7.904,55000,0.4545454545454550,5,1,25000,0
18800,11.109000000000000,85100,0.6474735605170390,12,2,55100,0
10800,7.713000000000000,53200,0.43609022556391000,5,1,23200,0
9400,7.1370000000000000,47800,0.3723849372384940,3,0,17800,0
8300,6.647,43100,0.3039443155452440,2,0,13100,0
9900,7.318,49500,0.3939393939393940,4,0,19500,0
9000,6.946000000000000,46000,0.3478260869565220,3,0,16000,0
10100,7.42,50400,0.4047619047619050,4,1,20400,0
10300,7.486000000000000,51000,0.4117647058823530,4,1,21000,0
8600,6.769,44300,0.3227990970654630,3,0,14300,0
9500,7.182,48200,0.3775933609958510,4,0,18200,0
8500,6.735,44000,0.3181818181818180,3,0,14000,0
8700,6.8390000000000000,45000,0.3333333333333330,3,0,15000,0
8100,6.584,42600,0.29577464788732400,2,0,12600,0
9300,7.074,47200,0.3644067796610170,3,0,17200,0
9600,7.2140000000000000,48500,0.38144329896907200,4,0,18500,0
10900,7.757000000000000,53600,0.44029850746268700,5,1,23600,0
8800,6.871,45300,0.3377483443708610,3,0,15300,0
8600,6.781000000000000,44400,0.32432432432432400,3,0,14400,0
9900,7.315,49400,0.3927125506072870,4,0,19400,0
9800,7.285,49200,0.3902439024390240,4,0,19200,0
9300,7.091,47300,0.3657505285412260,3,0,17300,0
10900,7.757000000000000,53600,0.44029850746268700,5,1,23600,0
8700,6.82,44800,0.33035714285714300,3,0,14800,0
10300,7.495,51100,0.4129158512720160,4,1,21100,0
6900,6.06,37600,0.20212765957446800,1,0,7600,0
12400,8.41,59700,0.4974874371859300,6,1,29700,0
8600,6.7830000000000000,44400,0.32432432432432400,3,0,14400,0
9900,7.33,49600,0.3951612903225810,4,0,19600,0
9300,7.069,47100,0.3630573248407640,3,0,17100,0
9000,6.933,45800,0.34497816593886500,3,0,15800,0
7900,6.487,41600,0.27884615384615400,2,0,11600,0
7700,6.417000000000000,41000,0.2682926829268290,2,0,11000,0
8400,6.703000000000000,43700,0.3135011441647600,3,0,13700,0
11700,8.085,56700,0.4708994708994710,6,1,26700,0
11300,7.944,55400,0.4584837545126350,5,1,25400,0
11300,7.92,55100,0.45553539,5,1,25100,0
11300,7.9240000000000000,55200,0.4565217391304350,5,1,25200,0
11600,8.072000000000000,56600,0.4699646643109540,5,1,26600,0
9300,7.068,47100,0.3630573248407640,3,0,17100,0
9100,6.976,46200,0.35064935064935100,3,0,16200,0
9300,7.062,47100,0.3630573248407640,3,0,17100,0
6800,6.0090000000000000,37100,0.19137466307277600,1,0,7100,0
10900,7.764000000000000,53700,0.441340782,5,1,23700,0
8200,6.603,42700,0.297423888,2,0,12700,0
9000,6.9480000000000000,46000,0.3478260869565220,3,0,16000,0
9700,7.256,48900,0.38650306748466300,4,0,18900,0
9800,7.304000000000000,49300,0.3914807302231240,4,0,19300,0
7200,6.1740000000000000,38700,0.2248062015503880,1,0,8700,0
11100,7.8390000000000000,54400,0.4485294117647060,5,1,24400,0
10300,7.487,51100,0.4129158512720160,4,1,21100,0
9200,7.018,46600,0.3562231759656650,3,0,16600,0
8500,6.744,44100,0.3197278911564630,3,0,14100,0
10000,7.354,49800,0.3975903614457830,4,0,19800,0
8500,6.74,44000,0.3181818181818180,3,0,14000,0
9400,7.1340000000000000,47700,0.3710691823899370,3,0,17700,0
10600,7.62,52300,0.4263862332695990,5,1,22300,0
8800,6.858,45100,0.3348115299334810,3,0,15100,0
9900,7.35,49800,0.3975903614457830,4,0,19800,0
10300,7.486000000000000,51000,0.4117647058823530,4,1,21000,0
12000,8.228,58000,0.4827586206896550,6,1,28000,0
7800,6.461,41400,0.2753623188405800,2,0,11400,0
6600,5.9240000000000000,36300,0.17355371900826400,1,0,6300,0
7700,6.377000000000000,40600,0.2610837438423650,2,0,10600,0
9200,7.023,46700,0.3576017130620990,3,0,16700,0
10400,7.541,51600,0.4186046511627910,4,1,21600,0
7800,6.423000000000000,41000,0.2682926829268290,2,0,11000,0
17000,10.343,77900,0.6148908857509630,10,2,47900,0
10300,7.485,51000,0.4117647058823530,4,1,21000,0
9600,7.193,48300,0.37888198757764000,4,0,18300,0
10700,7.671,52800,0.4318181818181820,5,1,22800,0
8700,6.833000000000000,44900,0.3318485523385300,3,0,14900,0
7900,6.475,41500,0.27710843373494000,2,0,11500,0
10500,7.579,51900,0.4219653179190750,4,1,21900,0
8700,6.829,44900,0.3318485523385300,3,0,14900,0
11500,7.994,55800,0.4623655913978490,5,1,25800,0
9700,7.23,48600,0.382716049,4,0,18600,0
10100,7.431,50500,0.405940594,4,1,20500,0
10400,7.547000000000000,51600,0.4186046511627910,4,1,21600,0
7800,6.458000000000000,41400,0.2753623188405800,2,0,11400,0
8700,6.8420000000000000,45000,0.3333333333333330,3,0,15000,0
8200,6.625,42900,0.3006993006993010,2,0,12900,0
8800,6.875,45300,0.3377483443708610,3,0,15300,0
7900,6.48,41600,0.27884615384615400,2,0,11600,0
9200,7.043000000000000,46900,0.3603411513859280,3,0,16900,0
9800,7.29,49200,0.3902439024390240,4,0,19200,0
7800,6.419,41000,0.2682926829268290,2,0,11000,0
7300,6.223,39200,0.2346938775510200,2,0,9200,0
9600,7.224,48600,0.382716049,4,0,18600,0
7900,6.487,41600,0.27884615384615400,2,0,11600,0
8900,6.9240000000000000,45800,0.34497816593886500,3,0,15800,0
10300,7.508000000000000,51200,0.4140625,4,1,21200,0
9300,7.059,47000,0.3617021276595750,3,0,17000,0
10300,7.482,51000,0.4117647058823530,4,1,21000,0
10200,7.444,50600,0.4071146245059290,4,1,20600,0
9300,7.072,47100,0.3630573248407640,3,0,17100,0
10300,7.501,51200,0.4140625,4,1,21200,0
8300,6.639000000000000,43100,0.3039443155452440,2,0,13100,0
10500,7.586,52000,0.4230769230769230,4,1,22000,0
11000,7.791,53900,0.4434137291280150,5,1,23900,0
10000,7.394,50200,0.4023904382470120,4,1,20200,0
10400,7.566,51800,0.4208494208494210,4,1,21800,0
11100,7.853,54500,0.44954128440367000,5,1,24500,0
10300,7.507000000000000,51200,0.4140625,4,1,21200,0
8700,6.801,44600,0.3273542600896860,3,0,14600,0
8700,6.8390000000000000,45000,0.3333333333333330,3,0,15000,0
8700,6.815,44700,0.3288590604026850,3,0,14700,0
9000,6.936,45900,0.3464052287581700,3,0,15900,0
8300,6.671,43400,0.3087557603686640,3,0,13400,0
20000,11.613,89900,0.6662958843159070,13,2,59900,0
8900,6.919,45700,0.3435448577680530,3,0,15700,0
11100,7.86,54600,0.4505494505494510,5,1,24600,0
10300,7.514000000000000,51300,0.4152046783625730,4,1,21300,0
9100,6.975,46200,0.35064935064935100,3,0,16200,0
8500,6.7380000000000000,44000,0.3181818181818180,3,0,14000,0
7800,6.429000000000000,41100,0.27007299270073000,2,0,11100,0
8900,6.891,45400,0.3392070484581500,3,0,15400,0
10100,7.432,50500,0.405940594,4,1,20500,0
9800,7.301,49300,0.3914807302231240,4,0,19300,0
8500,6.744,44100,0.3197278911564630,3,0,14100,0
9600,7.192,48300,0.37888198757764000,4,0,18300,0
9800,7.287000000000000,49200,0.3902439024390240,4,0,19200,0
9800,7.28,49100,0.3890020366598780,4,0,19100,0
8700,6.836,44900,0.3318485523385300,3,0,14900,0
9700,7.25,48800,0.38524590163934400,4,0,18800,0
7700,6.392,40700,0.2628992628992630,2,0,10700,0
9900,7.3390000000000000,49700,0.3963782696177060,4,0,19700,0
8300,6.645,43100,0.3039443155452440,2,0,13100,0
10600,7.62,52300,0.4263862332695990,5,1,22300,0
8300,6.652,43200,0.3055555555555560,2,0,13200,0
9700,7.236000000000000,48700,0.3839835728952770,4,0,18700,0
7800,6.442,41200,0.27184466019417500,2,0,11200,0
9700,7.237,48700,0.3839835728952770,4,0,18700,0
11200,7.87,54700,0.4515539305301650,5,1,24700,0
11300,7.9110000000000000,55000,0.4545454545454550,5,1,25000,0
8700,6.829,44900,0.3318485523385300,3,0,14900,0
8300,6.662000000000000,43300,0.3071593533487300,2,0,13300,0
7600,6.36,40400,0.25742574257425700,2,0,10400,0
10500,7.578000000000000,51900,0.4219653179190750,4,1,21900,0
8600,6.78,44400,0.32432432432432400,3,0,14400,0
9000,6.959,46100,0.3492407809110630,3,0,16100,0
10200,7.468,50900,0.4106090373280940,4,1,20900,0
8000,6.529,42000,0.2857142857142860,2,0,12000,0
8800,6.867000000000000,45200,0.33628318584070800,3,0,15200,0
8700,6.806,44600,0.3273542600896860,3,0,14600,0
10700,7.663000000000000,52700,0.4307400379506640,5,1,22700,0
10200,7.466,50900,0.4106090373280940,4,1,20900,0
9200,7.051,46900,0.3603411513859280,3,0,16900,0
9800,7.289,49200,0.3902439024390240,4,0,19200,0
10000,7.376,50000,0.4,4,1,20000,0
9000,6.962000000000000,46100,0.3492407809110630,3,0,16100,0
10500,7.596,52100,0.4241842610364680,4,1,22100,0
9300,7.082000000000000,47200,0.3644067796610170,3,0,17200,0
12800,8.572000000000000,61300,0.5106035889070150,7,1,31300,0
10400,7.555,51700,0.4197292069632500,4,1,21700,0
9900,7.329,49600,0.3951612903225810,4,0,19600,0
8700,6.84,45000,0.3333333333333330,3,0,15000,0
9600,7.199,48300,0.37888198757764000,4,0,18300,0
9900,7.335,49600,0.3951612903225810,4,0,19600,0
8500,6.724,43900,0.31662870159453300,3,0,13900,0
10000,7.364,49900,0.3987975951903810,4,0,19900,0
7700,6.412000000000000,40900,0.2665036674816630,2,0,10900,0
10000,7.372000000000000,50000,0.4,4,0,20000,0
9500,7.169,48100,0.3762993762993760,4,0,18100,0
10200,7.465,50800,0.4094488188976380,4,1,20800,0
10400,7.555,51700,0.4197292069632500,4,1,21700,0
8200,6.612,42800,0.29906542056074800,2,0,12800,0
6700,5.972,36800,0.18478260869565200,1,0,6800,0
9600,7.189,48200,0.3775933609958510,4,0,18200,0
10400,7.531000000000000,51500,0.4174757281553400,4,1,21500,0
9300,7.075,47200,0.3644067796610170,3,0,17200,0
8200,6.629,43000,0.3023255813953490,2,0,13000,0
9100,7.01,46600,0.3562231759656650,3,0,16600,0
12000,8.227,58000,0.4827586206896550,6,1,28000,0
8200,6.604,42700,0.297423888,2,0,12700,0
7800,6.4480000000000000,41300,0.2736077481840190,2,0,11300,0
9700,7.256,48900,0.38650306748466300,4,0,18900,0
9600,7.204,48400,0.3801652892561980,4,0,18400,0
9800,7.311,49400,0.3927125506072870,4,0,19400,0
8100,6.564,42400,0.29245283018867900,2,0,12400,0
8800,6.88,45300,0.3377483443708610,3,0,15300,0
11000,7.8,54000,0.4444444444444440,5,1,24000,0
7000,6.099,38000,0.21052631578947400,1,0,8000,0
7600,6.358,40400,0.25742574257425700,2,0,10400,0
9400,7.112,47500,0.3684210526315790,3,0,17500,0
9100,7.0120000000000000,46600,0.3562231759656650,3,0,16600,0
10100,7.41,50300,0.40357852882703800,4,1,20300,0
10100,7.397,50200,0.4023904382470120,4,1,20200,0
10600,7.6370000000000000,52500,0.42857142857142900,5,1,22500,0
9300,7.068,47100,0.3630573248407640,3,0,17100,0
11000,7.818,54200,0.4464944649446500,5,1,24200,0
7400,6.29,39800,0.2462311557788950,2,0,9800,0
11000,7.7860000000000000,53900,0.4434137291280150,5,1,23900,0
8600,6.795,44500,0.3258426966292140,3,0,14500,0
9300,7.088000000000000,47300,0.3657505285412260,3,0,17300,0
8400,6.71,43700,0.3135011441647600,3,0,13700,0
9500,7.154,47900,0.3736951983298540,4,0,17900,0
11700,8.094,56800,0.471830986,6,1,26800,0
9800,7.303,49300,0.3914807302231240,4,0,19300,0
9800,7.274,49000,0.3877551020408160,4,0,19000,0
10600,7.6340000000000000,52400,0.4274809160305340,5,1,22400,0
9900,7.329,49600,0.3951612903225810,4,0,19600,0
9200,7.042000000000000,46900,0.3603411513859280,3,0,16900,0
9700,7.257000000000000,48900,0.38650306748466300,4,0,18900,0
7100,6.148,38500,0.2207792207792210,1,0,8500,0
9700,7.245,48800,0.38524590163934400,4,0,18800,0
8900,6.915,45700,0.3435448577680530,3,0,15700,0
9100,7.003000000000000,46500,0.3548387096774190,3,0,16500,0
9200,7.016,46600,0.3562231759656650,3,0,16600,0
9000,6.942,45900,0.3464052287581700,3,0,15900,0
13200,8.722000000000000,62700,0.5215311004784690,7,1,32700,0
8200,6.599,42700,0.297423888,2,0,12700,0
9000,6.952000000000000,46000,0.3478260869565220,3,0,16000,0
10600,7.629,52400,0.4274809160305340,5,1,22400,0
9200,7.041,46900,0.3603411513859280,3,0,16900,0
9200,7.017,46600,0.3562231759656650,3,0,16600,0
9000,6.966,46100,0.3492407809110630,3,0,16100,0
9700,7.266,49000,0.3877551020408160,4,0,19000,0
11800,8.129,57100,0.4746059544658490,6,1,27100,0
7700,6.389000000000000,40700,0.2628992628992630,2,0,10700,0
10100,7.413000000000000,50400,0.4047619047619050,4,1,20400,0
9000,6.966,46200,0.35064935064935100,3,0,16200,0
9700,7.236000000000000,48700,0.3839835728952770,4,0,18700,0
9300,7.069,47100,0.3630573248407640,3,0,17100,0
11100,7.835,54300,0.44751381215469600,5,1,24300,0
9000,6.945,46000,0.3478260869565220,3,0,16000,0
9900,7.351,49800,0.3975903614457830,4,0,19800,0
9000,6.952000000000000,46000,0.3478260869565220,3,0,16000,0
7800,6.423000000000000,41000,0.2682926829268290,2,0,11000,0
5200,5.34,30800,0.025974025974026000,0,0,800,0
11100,7.829,54300,0.44751381215469600,5,1,24300,0
10600,7.648,52600,0.4296577946768060,5,1,22600,0
6900,6.063,37600,0.20212765957446800,1,0,7600,0
9300,7.091,47300,0.3657505285412260,3,0,17300,0
9800,7.279,49100,0.3890020366598780,4,0,19100,0
8700,6.829,44900,0.3318485523385300,3,0,14900,0
9400,7.129,47700,0.3710691823899370,3,0,17700,0
9600,7.215,48500,0.38144329896907200,4,0,18500,0
13500,8.848000000000000,63900,0.5305164319248830,7,1,33900,0
8900,6.914,45700,0.3435448577680530,3,0,15700,0
7400,6.263,39500,0.2405063291139240,2,0,9500,0
9800,7.276,49100,0.3890020366598780,4,0,19100,0
7300,6.24,39300,0.2366412213740460,2,0,9300,0
8000,6.53,42100,0.2874109263657960,2,0,12100,0
9200,7.027,46700,0.3576017130620990,3,0,16700,0
8500,6.728,43900,0.31662870159453300,3,0,13900,0
9500,7.167000000000000,48000,0.375,4,0,18000,0
7500,6.301,39900,0.2481203007518800,2,0,9900,0
7300,6.233,39300,0.2366412213740460,2,0,9300,0
9400,7.11,47500,0.3684210526315790,3,0,17500,0
11000,7.801,54000,0.4444444444444440,5,1,24000,0
10000,7.367000000000000,49900,0.3987975951903810,4,0,19900,0
11000,7.805,54100,0.4454713493530500,5,1,24100,0
9600,7.21,48400,0.3801652892561980,4,0,18400,0
20800,11.985,93400,0.6788008565310490,14,3,63400,0
9000,6.946000000000000,46000,0.3478260869565220,3,0,16000,0
9600,7.195,48300,0.37888198757764000,4,0,18300,0
9700,7.2380000000000000,48700,0.3839835728952770,4,0,18700,0
10800,7.715,53200,0.43609022556391000,5,1,23200,0
9400,7.126,47700,0.3710691823899370,3,0,17700,0
10900,7.758000000000000,53600,0.44029850746268700,5,1,23600,0
